Name,Artist,Album,Genres,Popularity,Available,Explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,track_href,analysis_url,track_uri,artist_uri,album_uri
Emergency Contraception Blues,['Bombay Bicycle Club'],I Had The Blues But I Shook Them Loose,"['alternative dance', 'british indie rock', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'rock', 'stomp and holler']",0,True,False,0.246,0.885,11,-5.874,1,0.0392,0.000418,0.731,0.123,0.0874,128.117,86520,4,audio_features,https://api.spotify.com/v1/tracks/4rII58jraqoGYro5yjXQlM,https://api.spotify.com/v1/audio-analysis/4rII58jraqoGYro5yjXQlM,spotify:track:4rII58jraqoGYro5yjXQlM,['spotify:artist:3pTE9iaJTkWns3mxpNQlJV'],spotify:album:4CVzsnMQTcC5mfU4XNTTaI
Lucidity,['Tame Impala'],InnerSpeaker,"['australian psych', 'neo-psychedelic']",0,True,False,0.37,0.876,6,-6.317,0,0.0591,0.12,0.0464,0.357,0.515,147.016,271880,4,audio_features,https://api.spotify.com/v1/tracks/3mgTNlrF6vkyrAiTSVcOod,https://api.spotify.com/v1/audio-analysis/3mgTNlrF6vkyrAiTSVcOod,spotify:track:3mgTNlrF6vkyrAiTSVcOod,['spotify:artist:5INjqkS1o8h1imAzPqGZBb'],spotify:album:4xhx23lxO1gB2jbg0UDA8T
Runway Houses City Clouds,['Tame Impala'],InnerSpeaker,"['australian psych', 'neo-psychedelic']",0,True,False,0.437,0.754,3,-6.083,1,0.0505,0.0744,0.0485,0.13,0.344,119.014,435053,4,audio_features,https://api.spotify.com/v1/tracks/6BN72nS6mlUwIxUcHgJXvB,https://api.spotify.com/v1/audio-analysis/6BN72nS6mlUwIxUcHgJXvB,spotify:track:6BN72nS6mlUwIxUcHgJXvB,['spotify:artist:5INjqkS1o8h1imAzPqGZBb'],spotify:album:4xhx23lxO1gB2jbg0UDA8T
All I Want,['Passion Pit'],Kindred,"['alternative dance', 'indie rock', 'indietronica', 'modern rock']",34,True,False,0.596,0.832,2,-3.48,1,0.036,0.124,0.0,0.0467,0.873,111.112,206027,4,audio_features,https://api.spotify.com/v1/tracks/4QaeQX43q3OdWE4JQxomF8,https://api.spotify.com/v1/audio-analysis/4QaeQX43q3OdWE4JQxomF8,spotify:track:4QaeQX43q3OdWE4JQxomF8,['spotify:artist:7gjAu1qr5C2grXeQFFOGeh'],spotify:album:5vHUSuZ5xizxS3zfr3SKkq
Whole Life Story,['Passion Pit'],Kindred,"['alternative dance', 'indie rock', 'indietronica', 'modern rock']",31,True,False,0.643,0.844,9,-3.687,1,0.0337,0.261,0.0,0.0925,0.793,104.993,198027,4,audio_features,https://api.spotify.com/v1/tracks/3ZdtwUI2bPlq409wroQRmK,https://api.spotify.com/v1/audio-analysis/3ZdtwUI2bPlq409wroQRmK,spotify:track:3ZdtwUI2bPlq409wroQRmK,['spotify:artist:7gjAu1qr5C2grXeQFFOGeh'],spotify:album:5vHUSuZ5xizxS3zfr3SKkq
My Brother Taught Me How to Swim,['Passion Pit'],Kindred,"['alternative dance', 'indie rock', 'indietronica', 'modern rock']",24,True,False,0.545,0.786,0,-3.92,1,0.034,0.000781,0.0,0.0877,0.68,135.02,252773,4,audio_features,https://api.spotify.com/v1/tracks/0OSQSbZXZm1WfTyKdqJuWp,https://api.spotify.com/v1/audio-analysis/0OSQSbZXZm1WfTyKdqJuWp,spotify:track:0OSQSbZXZm1WfTyKdqJuWp,['spotify:artist:7gjAu1qr5C2grXeQFFOGeh'],spotify:album:5vHUSuZ5xizxS3zfr3SKkq
Basic Space,['The xx'],xx,"['downtempo', 'dream pop', 'indietronica']",0,True,False,0.94,0.208,9,-15.235,0,0.0853,0.21,0.085,0.105,0.148,115.872,188120,4,audio_features,https://api.spotify.com/v1/tracks/16NE62lzGmi6ehGTNVI659,https://api.spotify.com/v1/audio-analysis/16NE62lzGmi6ehGTNVI659,spotify:track:16NE62lzGmi6ehGTNVI659,['spotify:artist:3iOvXCl6edW5Um0fXEBRXy'],spotify:album:2nXJkqkS1tIKIyhBcFMmwz
Islands,['The xx'],xx,"['downtempo', 'dream pop', 'indietronica']",0,True,False,0.871,0.472,4,-11.077,1,0.0756,0.74,0.286,0.145,0.707,124.04,160720,4,audio_features,https://api.spotify.com/v1/tracks/2SMn57cBVxoD4TArscpovk,https://api.spotify.com/v1/audio-analysis/2SMn57cBVxoD4TArscpovk,spotify:track:2SMn57cBVxoD4TArscpovk,['spotify:artist:3iOvXCl6edW5Um0fXEBRXy'],spotify:album:2nXJkqkS1tIKIyhBcFMmwz
Good Friend,['Emily King'],The Switch,"['alternative r&b', 'funk', 'indie soul', 'neo soul', 'nyc pop', 'pop soul', 'r&b', 'urban contemporary']",0,True,False,0.44,0.542,4,-9.857,0,0.0569,0.0316,0.073,0.335,0.189,95.589,158161,4,audio_features,https://api.spotify.com/v1/tracks/3SeOlSF3AMUL7FSF1i5QSv,https://api.spotify.com/v1/audio-analysis/3SeOlSF3AMUL7FSF1i5QSv,spotify:track:3SeOlSF3AMUL7FSF1i5QSv,['spotify:artist:6jlWj6y00bMQt8XoKuCjyZ'],spotify:album:5pmSETvXwO129DU6hklFf4
Knights,['Minus the Bear'],Planet of Ice (Deluxe Edition),"['dreamo', 'indie rock']",0,True,False,0.284,0.819,6,-4.674,0,0.0349,0.00469,0.105,0.0868,0.807,164.919,219760,4,audio_features,https://api.spotify.com/v1/tracks/5Kv8CPPLEOfX0s8ivCwWlf,https://api.spotify.com/v1/audio-analysis/5Kv8CPPLEOfX0s8ivCwWlf,spotify:track:5Kv8CPPLEOfX0s8ivCwWlf,['spotify:artist:0YQBN02bmZvwGNrrWsg2sT'],spotify:album:7Moh3cRyQd7QacINkIAU1U
Tennis Elbow,['Sky Sailing'],An Airplane Carried Me To Bed,"['alternative pop rock', 'neon pop punk']",0,True,False,0.685,0.416,6,-9.779,1,0.0331,0.107,0.152,0.0745,0.762,119.971,225147,4,audio_features,https://api.spotify.com/v1/tracks/2w8iWhgJ8EL2uS5SqcUQsO,https://api.spotify.com/v1/audio-analysis/2w8iWhgJ8EL2uS5SqcUQsO,spotify:track:2w8iWhgJ8EL2uS5SqcUQsO,['spotify:artist:3uC7RGF9NH9DIJWq92UB6O'],spotify:album:1R6yFUfcCWtxQkzl1kbw9k
Blue And Red,['Sky Sailing'],An Airplane Carried Me To Bed,"['alternative pop rock', 'neon pop punk']",0,True,False,0.532,0.452,4,-10.387,0,0.0332,0.145,0.0142,0.11,0.158,124.949,219933,4,audio_features,https://api.spotify.com/v1/tracks/4JGLgdlys1r36FCp74h2pY,https://api.spotify.com/v1/audio-analysis/4JGLgdlys1r36FCp74h2pY,spotify:track:4JGLgdlys1r36FCp74h2pY,['spotify:artist:3uC7RGF9NH9DIJWq92UB6O'],spotify:album:1R6yFUfcCWtxQkzl1kbw9k
Steady As She Goes,['Sky Sailing'],An Airplane Carried Me To Bed,"['alternative pop rock', 'neon pop punk']",0,True,False,0.2,0.48,1,-6.403,1,0.0335,0.516,0.0,0.232,0.519,66.709,156880,4,audio_features,https://api.spotify.com/v1/tracks/0Y0h9aHqfwOoHS8k4zDJ5P,https://api.spotify.com/v1/audio-analysis/0Y0h9aHqfwOoHS8k4zDJ5P,spotify:track:0Y0h9aHqfwOoHS8k4zDJ5P,['spotify:artist:3uC7RGF9NH9DIJWq92UB6O'],spotify:album:1R6yFUfcCWtxQkzl1kbw9k
Colorblind,['Emily King'],East Side Story,"['alternative r&b', 'funk', 'indie soul', 'neo soul', 'nyc pop', 'pop soul', 'r&b', 'urban contemporary']",8,True,False,0.704,0.626,1,-5.8,1,0.0562,0.00562,0.0,0.0946,0.282,90.95,238667,4,audio_features,https://api.spotify.com/v1/tracks/02jIJtpqTW00cDERYwv1vm,https://api.spotify.com/v1/audio-analysis/02jIJtpqTW00cDERYwv1vm,spotify:track:02jIJtpqTW00cDERYwv1vm,['spotify:artist:6jlWj6y00bMQt8XoKuCjyZ'],spotify:album:2699W2bQCZUfq1SmjM3rZh
